Epoch 1, Loss: 0.8385, Test Accuracy: 75.20%
Epoch 2, Loss: 0.4110, Test Accuracy: 83.20%
Epoch 3, Loss: 0.3130, Test Accuracy: 85.60%
Epoch 4, Loss: 0.2433, Test Accuracy: 90.20%
Epoch 5, Loss: 0.2004, Test Accuracy: 91.20%
Epoch 6, Loss: 0.1164, Test Accuracy: 81.20%
Epoch 7, Loss: 0.1455, Test Accuracy: 83.80%
Epoch 8, Loss: 0.1241, Test Accuracy: 93.40%
Epoch 9, Loss: 0.0800, Test Accuracy: 86.30%
Epoch 10, Loss: 0.1106, Test Accuracy: 95.60%
